text,label
防火牆,1
入侵檢測,1
入侵防禦,1
網路封包,1
流量監控,1
ACL,1
訪問控制列表,1
VPN,1
MED,1
OPAP,1
加密,1
解密,1
代理伺服器,1
WAF,1
防火牆,1
網路流量分析,1
零信任架構,1
端點防護,1
IDS/IPS,1
IDS,1
IPS,1
日誌分析,1
SIEM,1
C2通道,1
網路釣魚,1
流量重放,1
網路滲透,1
無線網路安全,1
漏洞掃描,1
SQL注入,1
XSS,1
跨站腳本,1
CSRF,1
跨站請求偽造,1
緩衝區溢出,1
格式化字串漏洞,1
競爭條件,1
提權攻擊,1
目錄穿越,1
RCE,1
遠端代碼執行,1
SSRF,1
伺服器端請求偽造,1
XML外部實體,1
XXE,1
反序列化漏洞,1
堆疊溢出,1
UAF,1
缺口利用,1
環境變數劫持,1
藍牙漏洞,1
攔截攻擊,1
DLL劫持,1
漏洞利用工具,1
Metasploit,1
Nmap,1
Wireshark,1
Burp Suite,1
Nessus,1
Kali Linux,1
Gobuster,1
Hydra,1
John the Ripper,1
Hashcat,1
Ettercap,1
Mimikatz,1
Netcat,1
Exploit DB,1
Cobalt Strike,1
Empire,1
Shellcode,1
Payload,1
後門,1
惡意程式,1
病毒,1
木馬,1
蠕蟲,1
間諜軟體,1
勒索軟體,1
殭屍網路,1
Botnet,1
Rootkit,1
網頁掛馬,1
惡意廣告,1
Malvertising,1
加密勒索,1
沙箱分析,1
逆向工程,1
行為分析,1
YARA規則,1
虛擬機逃逸,1
靜態分析,1
動態分析,1
環境檢測,1
遠端控制,1
CVE,1
漏洞編號,1
CWE,1
弱點分類,1
MITRE,1
ATT&CK,1
NIST,1
OWASP,1
ISO 27001,1
27001,1
GDPR,1
HIPAA,1
安全基線,1
安全補丁,1
CVSS,1
CVSS評分,1
資安事件回應,1
漏洞披露,1
威脅建模,1
資料分類,1
零日漏洞,1
漏洞修復,1
風險評估,1
網路監控,1
防禦性編碼,1
安全審計,1
隱寫術,1
資訊隱寫,1
數位隱寫,1
隱寫編碼,1
隱寫技術,1
資料隱藏,1
隱匿通信,1
載體文件,1
隱寫通道,1
隱寫容量,1
圖像隱寫,1
音頻隱寫,1
視頻隱寫,1
文本隱寫,1
網路隱寫,1
LSB隱寫,1
變換域隱寫,1
空間域隱寫,1
語義隱寫,1
亂數隱寫,1
像素隱寫,1
顏色通道隱寫,1
RGB隱寫,1
Alpha,1
通道隱寫,1
影像隱寫,1
直方圖分析,1
中間邊緣檢測法,1
最低有效位元取代法,1
最佳像素調整法,1
DCT,1
DCT變換,1
小波變換,1
JPEG隱寫,1
PNG隱寫,1
音頻隱藏,1
音頻編碼,1
頻域隱寫,1
取樣率隱寫,1
聲波隱寫,1
MP3隱寫,1
LPC隱寫,1
聲音變換,1
低頻隱寫,1
失真分析,1
視頻資訊隱藏,1
資訊隱藏,1
幀間隱寫,1
視頻壓縮隱寫,1
H.264隱寫,1
MPEG隱寫,1
影片載體,1
幀抽取隱寫,1
時域隱寫,1
動畫隱寫,1
比特流隱寫,1
空白符隱寫,1
行距隱寫,1
字符替換,1
字體變化,1
Unicode隱寫,1
零寬字符,1
標點符號隱寫,1
大小寫隱寫,1
文字順序,1
隱寫標記,1
封包隱寫,1
網路協議隱寫,1
DNS隱寫,1
HTTP隱寫,1
ICMP隱寫,1
TCP隱寫,1
UDP隱寫,1
封裝隱寫,1
流量隱寫,1
延遲隱寫,1
Steghide,1
OpenStego,1
SilentEye,1
OutGuess,1
DeepSound,1
